"","BC","AG","UB","PT","RC","AC","ZH","LT"
"P_00250",0.702750273259178,0.246431556612872,0.0072252941554684,0.0421703208384235,0,0,0,0
"P_00254",0.763003922072912,0,0,0.189939240018003,0,0,0,0
"P_00258",0.897359030412139,0,0,0.0846942712016974,0.00466951713495789,0,0,0
"P_00260",0.908634990034077,0,0,0.0174162540988877,0,0,0,0
"P_00262",0.887827107310487,0,0,0,0.0335948048607986,0,0,0
"P_00264",0.989174114318781,0,0,0.00582685012537774,0,0,0,0
"P_00267",0.958890567736128,0.0268035105767376,0,0.0143059216871343,0,0,0,0
"P_00270",0.991842409824471,0,0,0,0,0,0,0
"P_00273",0.988732077412718,0,0,0,0,0,0,0
"P_00274",0.963174307207613,0,0,0,0,0,0,0
"P_00275",0.945870571593905,0,0,0.0541294284060953,0,0,0,0
"P_00279",0.940558091686491,0,0,0,0,0,0,0
"P_00283",1,0,0,0,0,0,0,0
"P_00284",0.972786600655822,0,0,0.027213399344178,0,0,0,0
"P_00285",0.959581752716518,0,0,0,0,0,0,0
"P_00289",0.991440558091687,0,0,0.00855944190831351,0,0,0,0
"P_00290",0.900710473863563,0,0,0,0.0855783450138237,0,0,0
"P_00293",0.720134379219443,0,0.0674950170385135,0.192647720696972,0,0,0,0
"P_00295",0.855751301999614,0,0,0,0.0216115861891596,0,0,0
"P_00297",0.859440300906578,0,0,0,0.121616408409953,0,0,0
"P_00299",0.734311708352086,0,0,0.0254372146852697,0.0779592361602263,0,0,0
"P_00302",0.862325596347971,0,0,0.0268517327846718,0.0437536166655951,0,0,0
"P_00306",1,0,0,0,0,0,0,0
"P_00311",0.9973879637369,0.000707259049701022,0,0.00190477721339934,0,0,0,0
"P_00313",0.915667395357809,0.00888092329454125,0.0181235131485887,0.0573281681990613,0,0,0,0
"P_00314",0.785137915514692,0,0,0.187391500032148,0,0,0,0
"P_00315",0.796277245547483,0,0,0.203722754452517,0,0,0,0
"P_00317",0.879219443194239,0,0.0357165820099016,0.059353500932296,0.00732977560599241,0,0,0
"P_00318",0.739391114254485,0.000425962836751752,0.248947148460104,0.00352825821384942,0,0,0,0
"P_00323",1,0,0,0,0,0,0,0
"P_00324",0.954711309715167,0,0,0.00749051629910628,0,0,0,0
"P_00325",0.851652414325211,0,0,0,0.0668600913007137,0,0,0
"P_00331",0.968149231659487,0,0.0318507683405131,0,0,0,0,0
"P_00332",0.843237639040699,0.12981418375876,0.0120796630875072,0.0148685141130329,0,0,0,0
"P_00333",0.804209798752652,0.167564135536552,0.0186941426091429,0,0,0,0,0
"P_00336",0.970423712467048,0,0,0,0.0295762875329518,0,0,0
"P_00338",0.947590497010223,0.017802031762361,0,0.0142737735485115,0.0203336976789044,0,0,0
