"","plot_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","mx","mx2","mx3"
"17","P_01198",0,0,0,0,0,0,0.968410150181253,0,0,0,0.000614966338684619,0,0,0.0309748834800621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","14","11"
"18","P_00047",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","1","2"
"19","P_00048",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","1","2"
"20","P_00050",0,0,0,0,0,0,0.503657431382703,0,0,0,0.496342568617297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","11","1"
"21","P_00051",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","1","2"
"22","P_00053",0,0,0,0,0,0,0.931706369756603,0,0,0,0,0,0,0,0,0,0,0.0682936302433972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","18","1"
"23","P_00054",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","1","2"
"24","P_00055",0,0,0,0,0,0,0.928858104609011,0,0,0,0.0711418953909891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","11","1"
"25","P_00061",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","1","2"
"26","P_00066",0,0,0,0,0,0,0.875097099948213,0,0,0,0.124902900051787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","11","1"
"27","P_00070",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","1","2"
"28","P_00072",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","1","2"
"29","P_00073",0,0,0,0,0,0,0.771750388399793,0,0,0,0.188017866390471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0402317452097359,0,0,0,0,0,0,0,0,0,0,"7","11","31"
"30","P_00077",0,0,0,0,0,0,0.764856292076644,0,0,0,0.235143707923356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","11","1"
"31","P_00084",0,0,0,0,0,0,0.657884515794925,0.192549197307095,0,0.0556382703262558,0,0,0,0,0,0,0,0.0939280165717245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","8","18"
"32","P_00087",0,0,0,0,0,0,0.864157172449508,0.128689798032108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00715302951838426,0,0,0,0,0,0,0,0,0,0,"7","8","31"
"33","P_00088",0,0,0,0,0,0,0.960447954427758,0.0395520455722424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","8","1"
"34","P_00089",0,0,0,0,0,0,0.716759451061626,0,0.116325737959606,0.0187079233557742,0,0,0.148206887622993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","13","9"
"35","P_00093",0,0,0,0,0,0,0.0732780942516831,0.926721905748317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8","7","1"
