"","BC","MT","AG","UB","PT","RC","AC","ZH","LT"
"P_00628",1,0,0,0,0,0,0,0,0
"P_00629",1,0,0,0,0,0,0,0,0
"P_00630",0,1,0,0,0,0,0,0,0
"P_00632",1,0,0,0,0,0,0,0,0
"P_00635",1,0,0,0,0,0,0,0,0
"P_00645",1,0,0,0,0,0,0,0,0
"P_00649",1,0,0,0,0,0,0,0,0
"P_00653",1,0,0,0,0,0,0,0,0
"P_00656",1,0,0,0,0,0,0,0,0
"P_00661",1,0,0,0,0,0,0,0,0
"P_00665",1,0,0,0,0,0,0,0,0
"P_00668",1,0,0,0,0,0,0,0,0
"P_00672",1,0,0,0,0,0,0,0,0
"P_00678",1,0,0,0,0,0,0,0,0
"P_00679",1,0,0,0,0,0,0,0,0
"P_00683",1,0,0,0,0,0,0,0,0
"P_00684",1,0,0,0,0,0,0,0,0
"P_00688",1,0,0,0,0,0,0,0,0
"P_00691",1,0,0,0,0,0,0,0,0
"P_00692",1,0,0,0,0,0,0,0,0
"P_00701",0.865384615384615,0.134615384615385,0,0,0,0,0,0,0
"P_00704",1,0,0,0,0,0,0,0,0
"P_00709",1,0,0,0,0,0,0,0,0
"P_00721",1,0,0,0,0,0,0,0,0
"P_00724",1,0,0,0,0,0,0,0,0
"P_00726",1,0,0,0,0,0,0,0,0
"P_00730",0,1,0,0,0,0,0,0,0
"P_00733",1,0,0,0,0,0,0,0,0
"P_00741",1,0,0,0,0,0,0,0,0
"P_00744",1,0,0,0,0,0,0,0,0
"P_00746",1,0,0,0,0,0,0,0,0
"P_00747",1,0,0,0,0,0,0,0,0
"P_00749",1,0,0,0,0,0,0,0,0
"P_00751",1,0,0,0,0,0,0,0,0
"P_00753",1,0,0,0,0,0,0,0,0
"P_00754",1,0,0,0,0,0,0,0,0
"P_00755",1,0,0,0,0,0,0,0,0
"P_00757",1,0,0,0,0,0,0,0,0
"P_00758",1,0,0,0,0,0,0,0,0
"P_00764",1,0,0,0,0,0,0,0,0
"P_00766",1,0,0,0,0,0,0,0,0
"P_00767",1,0,0,0,0,0,0,0,0
"P_00768",1,0,0,0,0,0,0,0,0
"P_00772",1,0,0,0,0,0,0,0,0
"P_00776",1,0,0,0,0,0,0,0,0
"P_00777",1,0,0,0,0,0,0,0,0
"P_00779",1,0,0,0,0,0,0,0,0
"P_00781",1,0,0,0,0,0,0,0,0
"P_00785",1,0,0,0,0,0,0,0,0
"P_00789",1,0,0,0,0,0,0,0,0
"P_00790",1,0,0,0,0,0,0,0,0
"P_00791",1,0,0,0,0,0,0,0,0
"P_00794",1,0,0,0,0,0,0,0,0
"P_00796",1,0,0,0,0,0,0,0,0
"P_00797",1,0,0,0,0,0,0,0,0
"P_00799",1,0,0,0,0,0,0,0,0
"P_00800",1,0,0,0,0,0,0,0,0
"P_00804",1,0,0,0,0,0,0,0,0
"P_00805",1,0,0,0,0,0,0,0,0
"P_00809",1,0,0,0,0,0,0,0,0
"P_00812",1,0,0,0,0,0,0,0,0
"P_00818",1,0,0,0,0,0,0,0,0
"P_00820",0.519230769230769,0.480769230769231,0,0,0,0,0,0,0
"P_00821",1,0,0,0,0,0,0,0,0
"P_00822",1,0,0,0,0,0,0,0,0
"P_00825",1,0,0,0,0,0,0,0,0
"P_00830",1,0,0,0,0,0,0,0,0
"P_00832",1,0,0,0,0,0,0,0,0
"P_00834",1,0,0,0,0,0,0,0,0
"P_00838",1,0,0,0,0,0,0,0,0
"P_00839",1,0,0,0,0,0,0,0,0
"P_00841",1,0,0,0,0,0,0,0,0
"P_00842",1,0,0,0,0,0,0,0,0
"P_00845",1,0,0,0,0,0,0,0,0
"P_00849",1,0,0,0,0,0,0,0,0
"P_00851",1,0,0,0,0,0,0,0,0
"P_00852",1,0,0,0,0,0,0,0,0
"P_00855",1,0,0,0,0,0,0,0,0
"P_00856",1,0,0,0,0,0,0,0,0
"P_00860",1,0,0,0,0,0,0,0,0
"P_00861",1,0,0,0,0,0,0,0,0
"P_00863",1,0,0,0,0,0,0,0,0
"P_00865",1,0,0,0,0,0,0,0,0
"P_00866",1,0,0,0,0,0,0,0,0
"P_00867",1,0,0,0,0,0,0,0,0
"P_00873",1,0,0,0,0,0,0,0,0
"P_00874",1,0,0,0,0,0,0,0,0
"P_00876",1,0,0,0,0,0,0,0,0
"P_00878",1,0,0,0,0,0,0,0,0
"P_00879",1,0,0,0,0,0,0,0,0
"P_00883",1,0,0,0,0,0,0,0,0
"P_00884",0.0769230769230769,0,0,0,0.923076923076923,0,0,0,0
"P_00885",1,0,0,0,0,0,0,0,0
"P_00893",1,0,0,0,0,0,0,0,0
"P_00894",1,0,0,0,0,0,0,0,0
"P_00903",1,0,0,0,0,0,0,0,0
"P_00909",1,0,0,0,0,0,0,0,0
"P_00911",1,0,0,0,0,0,0,0,0
"P_00913",1,0,0,0,0,0,0,0,0
"P_00914",1,0,0,0,0,0,0,0,0
"P_00916",1,0,0,0,0,0,0,0,0
"P_00920",1,0,0,0,0,0,0,0,0
"P_00921",1,0,0,0,0,0,0,0,0
"P_00922",1,0,0,0,0,0,0,0,0
"P_00925",1,0,0,0,0,0,0,0,0
"P_00926",1,0,0,0,0,0,0,0,0
"P_00927",0,1,0,0,0,0,0,0,0
"P_00928",0.961538461538462,0.0384615384615385,0,0,0,0,0,0,0
"P_00931",1,0,0,0,0,0,0,0,0
"P_00932",1,0,0,0,0,0,0,0,0
"P_00933",1,0,0,0,0,0,0,0,0
"P_00937",1,0,0,0,0,0,0,0,0
"P_00938",1,0,0,0,0,0,0,0,0
"P_00944",1,0,0,0,0,0,0,0,0
"P_00945",1,0,0,0,0,0,0,0,0
"P_00961",1,0,0,0,0,0,0,0,0
"P_00964",1,0,0,0,0,0,0,0,0
"P_00966",1,0,0,0,0,0,0,0,0
"P_00970",1,0,0,0,0,0,0,0,0
"P_00973",1,0,0,0,0,0,0,0,0
"P_00974",1,0,0,0,0,0,0,0,0
"P_00978",1,0,0,0,0,0,0,0,0
"P_00979",1,0,0,0,0,0,0,0,0
"P_00980",1,0,0,0,0,0,0,0,0
"P_00981",1,0,0,0,0,0,0,0,0
"P_00982",1,0,0,0,0,0,0,0,0
"P_00983",1,0,0,0,0,0,0,0,0
"P_00985",1,0,0,0,0,0,0,0,0
"P_00986",1,0,0,0,0,0,0,0,0
"P_00992",1,0,0,0,0,0,0,0,0
"P_00993",1,0,0,0,0,0,0,0,0
"P_00994",1,0,0,0,0,0,0,0,0
